date,,2022-06-30_FY,2021-06-30_FY,2020-06-30_FY,2019-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-707417000.0,-430923000.0,-112598000.0,-120455000.0
,depreciationAndAmortization,52722000.0,19979000.0,9444000.0,5266000.0
,deferredIncomeTax,0.0,0.0,385000.0,36000.0
,stockBasedCompensation,390983000.0,288033000.0,29625000.0,33701000.0
,changeInWorkingCapital,-9906000.0,-53748000.0,30976000.0,-20693000.0
,accountsReceivables,-62700000.0,-22934000.0,-19049000.0,-24791000.0
,inventory,0.0,0.0,0.0,0.0
,accountsPayables,-24686000.0,32223000.0,7514000.0,4435000.0
,otherWorkingCapital,0.0,3768554000.0,19936000.0,-17105000.0
,otherNonCashItems,111424000.0,-16471000.0,-29134000.0,14496000.0
,netCashProvidedByOperatingActivites,-162194000.0,-193130000.0,-71302000.0,-87649000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-86290000.0,-20252000.0,-21019000.0,-21250000.0
,acquisitionsNet,-5999000.0,-222433000.0,0.0,0.0
,purchasesOfInvestments,-1841380000.0,0.0,-2830320000.0,-1892508000.0
,salesMaturitiesOfInvestments,311035000.0,0.0,303433000.0,1560030000.0
,otherInvestingActivites,-388704000.0,-779348000.0,2294833000.0,0.0
,netCashUsedForInvestingActivites,-2011338000.0,-1022033000.0,-253073000.0,-353728000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-4642608000.0,-3375471000.0,-1882155000.0,-1080481000.0
,commonStockIssued,0.0,1305176000.0,2733000.0,6475000.0
,commonStockRepurchased,-86000.0,-813000.0,-41445000.0,-17129000.0
,dividendsPaid,0.0,0.0,0.0,0.0
,otherFinancingActivites,6679813000.0,4648938000.0,2215599000.0,1652783000.0
,netCashUsedProvidedByFinancingActivities,2037119000.0,2577830000.0,294732000.0,561648000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-5412000.0,1837000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-141825000.0,1364504000.0,-29643000.0,120271000.0
,cashAtEndOfPeriod,1550807000.0,1692632000.0,328128000.0,357771000.0
,cashAtBeginningOfPeriod,1692632000.0,328128000.0,357771000.0,237500000.0
,operatingCashFlow,-162194000.0,-193130000.0,-71302000.0,-87649000.0
,capitalExpenditure,-111705000.0,-20252000.0,-21019000.0,-21250000.0
,freeCashFlow,-273899000.0,-213382000.0,-92321000.0,-108899000.0
